ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Johansson T.,Ulihrach B.,22,119,6,3,6,2,6,2,,,,,3,0,Completed,1.06,8,1.06,8.5,1.1,6.75,1.05,6,1.09,10.57
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Nalbandian D.,Sluiter R.,19,118,6,2,6,2,7,5,,,,,3,0,Completed,1.19,4.33,1.22,4.1,1.21,4.06,1.15,4,1.27,4.4
36,London,Wimbledon,22/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Grosjean S.,Llodra M.,27,75,3,6,7,5,4,6,7,6,6,4,3,2,Completed,1.22,4,1.3,3.35,1.32,3.22,1.3,2.9,1.31,3.96
36,London,Wimbledon,22/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Ferrero J.C.,Lee H.T.,31,67,6,4,3,6,4,6,6,3,6,3,3,2,Completed,1.38,2.87,1.45,2.75,1.42,2.75,1.35,2.7,1.48,2.89
36,London,Wimbledon,22/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Lopez F.,Sherwood D.,33,261,6,2,6,4,6,2,,,,,3,0,Completed,1.1,6.5,1.1,7,1.1,6.75,1.1,5,1.164,6.5
36,London,Wimbledon,22/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Gimelstob J.,Massu N.,123,29,6,3,4,6,7,6,7,6,,,3,1,Completed,1.83,1.83,1.9,1.9,1.87,1.87,1.8,1.8,1.89,2.02
36,London,Wimbledon,22/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Berdych T.,Burgsmuller L.,49,91,6,3,6,3,6,1,,,,,3,0,Completed,1.44,2.62,1.4,2.95,1.4,2.85,1.45,2.35,1.48,2.9
36,London,Wimbledon,22/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Dent T.,Kim K.,30,71,6,3,6,4,6,4,,,,,3,0,Completed,1.28,3.5,1.28,3.65,1.3,3.35,1.25,3.2,1.34,3.65
36,London,Wimbledon,22/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Safin M.,Philippoussis M.,5,142,7,6,7,6,6,4,,,,,3,0,Completed,1.39,2.75,1.37,3.1,1.42,2.73,1.45,2.35,1.43,3.12
36,London,Wimbledon,22/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Federer R.,Minar I.,1,99,6,4,6,4,6,1,,,,,3,0,Completed,1.01,15,1.01,16,1.01,13.5,1.01,10,1.02,44.81
