ATP,Tournament,Tournament_Int,Date,Series,Series_Int,Court,Court_Int,Surface,Surface_Int,Round,Round_Int,Best_of,Winner,Winner_Int,Player1,Player1_Int,Player2,Player2_Int,Player1_Rank,Player2_Rank,Player1_Odds,Player2_Odds,Player1_Implied_Prob,Player2_Implied_Prob
3,QatarExxonMobilOpen,1.9727,42741,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,Semifinals,5.2101,3,DjokovicN.,6.9457,VerdascoF.,6.682,DjokovicN.,6.9457,42,2,7.57,1.09,0.1321,0.9174
3,QatarExxonMobilOpen,1.9727,42741,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,Semifinals,5.2101,3,MurrayA.,6.2537,MurrayA.,6.2537,BerdychT.,6.2517,1,10,1.14,5.45,0.8772,0.1835
3,QatarExxonMobilOpen,1.9727,42742,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,TheFinal,5.3011,3,DjokovicN.,6.9457,MurrayA.,6.2537,DjokovicN.,6.9457,1,2,1.66,2.21,0.6024,0.4525
4,ASBClassic,1.7837,42743,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,JohnsonS.,6.7032,JohnsonS.,6.7032,RobertS.,6.9686,33,53,1.33,3.24,0.7519,0.3086
4,ASBClassic,1.7837,42744,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,HaaseR.,6.2279,TearneyF.,6.594,HaaseR.,6.2279,447,58,5.5,1.14,0.1818,0.8772
4,ASBClassic,1.7837,42744,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,VeselyJ.,6.1474,VeselyJ.,6.1474,ZeballosH.,6.7499,54,69,1.41,2.82,0.7092,0.3546
4,ASBClassic,1.7837,42744,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,JaziriM.,6.3526,SchwartzmanD.,6.0786,JaziriM.,6.3526,52,56,1.49,2.56,0.6711,0.3906
4,ASBClassic,1.7837,42744,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,LopezF.,6.8842,LopezF.,6.8842,VenusM.,6.3148,28,1035,1.04,10.72,0.9615,0.0933
4,ASBClassic,1.7837,42744,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,BrownD.,6.8965,MmohM.,6.2419,BrownD.,6.8965,195,70,1.89,1.89,0.5291,0.5291
4,ASBClassic,1.7837,42744,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,KleinB.,6.2705,KleinB.,6.2705,BagnisF.,6.6994,324,55,2.02,1.76,0.495,0.5682
4,ASBClassic,1.7837,42744,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,HarrisonR.,6.4046,GarciaLopezG.,6.0349,HarrisonR.,6.4046,74,89,2.75,1.43,0.3636,0.6993
4,ASBClassic,1.7837,42744,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,SousaJ.,6.7221,SousaJ.,6.7221,RamosVinolasA.,6.2112,44,26,2.14,1.68,0.4673,0.5952
4,ASBClassic,1.7837,42745,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,LuY.H.,6.452,KhachanovK.,6.8015,LuY.H.,6.452,51,61,1.76,2.03,0.5682,0.4926
4,ASBClassic,1.7837,42745,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,BaghdatisM.,6.1131,BaghdatisM.,6.1131,MannarinoA.,6.4245,36,60,2.22,1.64,0.4505,0.6098
4,ASBClassic,1.7837,42745,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,ChardyJ.,6.2796,SitakA.,6.6749,ChardyJ.,6.2796,N/A,71,8.96,1.06,0.1116,0.9434
4,ASBClassic,1.7837,42745,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,HaaseR.,6.2279,HaaseR.,6.2279,FerrerD.,6.3881,58,21,4.12,1.23,0.2427,0.813
4,ASBClassic,1.7837,42746,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,SousaJ.,6.7221,KleinB.,6.2705,SousaJ.,6.7221,324,44,3.74,1.26,0.2674,0.7937
4,ASBClassic,1.7837,42746,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,JohnsonS.,6.7032,JohnsonS.,6.7032,LuY.H.,6.452,33,61,1.76,2.03,0.5682,0.4926
4,ASBClassic,1.7837,42746,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,IsnerJ.,6.2262,JaziriM.,6.3526,IsnerJ.,6.2262,56,19,4.29,1.21,0.2331,0.8264
4,ASBClassic,1.7837,42746,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,VeselyJ.,6.1474,VeselyJ.,6.1474,StathamJ.,6.1564,54,434,1.05,10.28,0.9524,0.0973
